year_of_manufacture,price,fuel,car_model
2014,5000.0,Petrol,ritz
2013,7089.55,Diesel,sx4
2017,10820.9,Petrol,ciaz
2011,4253.73,Petrol,wagon r
2014,6865.67,Diesel,swift
2018,13805.97,Diesel,vitara brezza
2015,10074.63,Petrol,ciaz
2015,9701.49,Diesel,s cross
2016,13059.7,Diesel,ciaz
2015,11119.4,Diesel,ciaz
2017,4253.73,Petrol,alto 800
2015,10223.88,Diesel,ciaz
2015,11194.03,Petrol,ciaz
2015,9104.48,Petrol,ertiga
2009,3358.21,Petrol,dzire
2016,11567.16,Diesel,ertiga
2015,10820.9,Diesel,ertiga
2016,11567.16,Diesel,ertiga
2015,4850.75,CNG,wagon r
2010,3955.22,Petrol,sx4
2016,4253.73,Petrol,alto k10
2017,7313.43,Petrol,ignis
2011,6567.16,Petrol,sx4
2014,3731.34,Petrol,alto k10
2013,4328.36,Petrol,wagon r
2011,4477.61,Petrol,swift
2013,6194.03,Petrol,swift
2017,8955.22,Petrol,swift
2010,2910.45,Petrol,alto k10
2015,11119.4,Diesel,ciaz
2014,5000.0,Petrol,ritz
2013,7089.55,Diesel,sx4
2017,10820.9,Petrol,ciaz
2011,4253.73,Petrol,wagon r
2014,6865.67,Diesel,swift
2018,13805.97,Diesel,vitara brezza
2015,10074.63,Petrol,ciaz
2015,9701.49,Diesel,s cross
2016,13059.7,Diesel,ciaz
2015,11119.4,Diesel,ciaz
2017,4253.73,Petrol,alto 800
2015,10223.88,Diesel,ciaz
2015,11194.03,Petrol,ciaz
2015,9104.48,Petrol,ertiga
2009,3358.21,Petrol,dzire
2016,11567.16,Diesel,ertiga
2015,10820.9,Diesel,ertiga
2016,11567.16,Diesel,ertiga
2015,4850.75,CNG,wagon r
2010,3955.22,Petrol,sx4
2016,4253.73,Petrol,alto k10
2017,7313.43,Petrol,ignis
2011,6567.16,Petrol,sx4
2014,3731.34,Petrol,alto k10
2013,4328.36,Petrol,wagon r
2011,4477.61,Petrol,swift
2013,6194.03,Petrol,swift
2017,8955.22,Petrol,swift
2010,2910.45,Petrol,alto k10
2015,11119.4,Diesel,ciaz
2012,4626.87,Diesel,ritz
2011,3507.46,Petrol,ritz
2014,7388.06,Diesel,swift
2014,8955.22,Diesel,ertiga
2014,8208.96,Diesel,dzire
2011,4402.99,CNG,sx4
2015,6940.3,Petrol,dzire
2003,522.39,Petrol,800
2016,4477.61,Petrol,alto k10
2003,3358.21,Petrol,sx4
2012,22238.81,Diesel,fortuner
2015,34328.36,Diesel,fortuner
2017,26865.67,Diesel,innova
2013,23880.6,Diesel,fortuner
2005,4104.48,Petrol,innova
2009,5373.13,Petrol,corolla altis
2015,6716.42,Petrol,etios cross
2010,7089.55,Petrol,corolla altis
2014,6119.4,Petrol,etios g
2014,29835.82,Diesel,fortuner
2016,8731.34,Petrol,baleno
2014,3805.97,Petrol,alto k10
2008,2910.45,Petrol,sx4
2014,8208.96,Diesel,dzire
2012,1865.67,Petrol,omni
2014,11194.03,Petrol,ciaz
2013,3955.22,Petrol,ritz
2006,1567.16,Petrol,wagon r
2015,8656.72,Petrol,ertiga
2017,11567.16,Petrol,ciaz
2016,21985.07,Diesel,
2015,7089.55,Diesel,
2017,34328.36,Diesel,
2015,18656.72,Diesel,
2005,5208.96,Diesel,
2006,3731.34,Petrol,
2010,52238.81,Diesel,
2012,8805.97,Petrol,
2013,5149.25,Petrol,
2014,7089.55,Petrol,
2014,5895.52,Diesel,
2011,6716.42,Diesel,
2013,11119.4,Petrol,
2011,3955.22,Petrol,
2014,7313.43,Diesel,
2015,5895.52,Petrol,
2013,8208.96,Petrol,
2004,2238.81,Petrol,
2010,7835.82,Petrol,
2012,21641.79,Diesel,
2013,10373.13,Petrol,
2015,6716.42,Petrol,
2014,27985.07,Diesel,
2015,35074.63,Diesel,
2017,49253.73,Diesel,
2014,7089.55,Diesel,
2017,29477.61,Petrol,
2010,13805.97,Diesel,
2011,6492.54,Petrol,
2016,21268.66,Petrol,
2012,4626.87,Diesel,ritz
2011,3507.46,Petrol,ritz
2014,7388.06,Diesel,swift
2014,8955.22,Diesel,ertiga
2014,8208.96,Diesel,dzire
2011,4402.99,CNG,sx4
2015,6940.3,Petrol,dzire
2003,522.39,Petrol,800
2016,4477.61,Petrol,alto k10
2003,3358.21,Petrol,sx4
2012,22238.81,Diesel,fortuner
2015,34328.36,Diesel,fortuner
2017,26865.67,Diesel,innova
2013,23880.6,Diesel,fortuner
2005,4104.48,Petrol,innova
2009,5373.13,Petrol,corolla altis
2015,6716.42,Petrol,etios cross
2010,7089.55,Petrol,corolla altis
2014,6119.4,Petrol,etios g
2014,29835.82,Diesel,fortuner
2016,8731.34,Petrol,baleno
2014,3805.97,Petrol,alto k10
2008,2910.45,Petrol,sx4
2014,8208.96,Diesel,dzire
2012,1865.67,Petrol,omni
2014,11194.03,Petrol,ciaz
2013,3955.22,Petrol,ritz
2006,1567.16,Petrol,wagon r
2015,8656.72,Petrol,ertiga
2017,11567.16,Petrol,ciaz
2016,21985.07,Diesel,
2015,7089.55,Diesel,
2017,34328.36,Diesel,
2015,18656.72,Diesel,
2005,5208.96,Diesel,
2006,3731.34,Petrol,
2010,52238.81,Diesel,
2012,8805.97,Petrol,
2013,5149.25,Petrol,
2014,7089.55,Petrol,
2014,5895.52,Diesel,
2011,6716.42,Diesel,
2013,11119.4,Petrol,
2011,3955.22,Petrol,
2014,7313.43,Diesel,
2015,5895.52,Petrol,
2013,8208.96,Petrol,
2004,2238.81,Petrol,
2010,7835.82,Petrol,
2012,21641.79,Diesel,
2013,10373.13,Petrol,
2015,6716.42,Petrol,
2014,27985.07,Diesel,
2015,35074.63,Diesel,
2017,49253.73,Diesel,
2014,7089.55,Diesel,
2017,29477.61,Petrol,
2010,13805.97,Diesel,
2011,6492.54,Petrol,
2016,21268.66,Petrol,
